DAY,CENTERLAT,CENTERLON,FCOUNT
2002-05-12,43.1,-89.4,3
2002-05-29,43.1,-89.4,14
2002-06-03,43.1,-89.4,7
2002-06-04,43.1,-89.4,4
2002-06-10,43.1,-89.4,3
2002-06-11,43.1,-89.4,18
2002-06-26,43.1,-89.4,1
2002-07-20,43.1,-89.4,17
2002-07-22,43.1,-89.4,2
2002-07-26,43.1,-89.4,2
2002-07-28,43.1,-89.4,2
2002-07-29,43.1,-89.4,2
2002-08-11,43.1,-89.4,2
2002-08-13,43.1,-89.4,2
2002-08-17,43.1,-89.4,4
2002-08-21,43.1,-89.4,6
2002-08-22,43.1,-89.4,2
2002-09-02,43.1,-89.4,10
2002-09-19,43.1,-89.4,12
2002-09-29,43.1,-89.4,9
2001-04-05,43.1,-89.4,12
2001-04-07,43.1,-89.4,1
2001-04-11,43.1,-89.4,1
2001-04-21,43.1,-89.4,1
2001-05-03,43.1,-89.4,8
2001-05-11,43.1,-89.4,2
2001-05-21,43.1,-89.4,1
2001-06-05,43.1,-89.4,2
2001-06-12,43.1,-89.4,20
2001-06-14,43.1,-89.4,33
2001-06-18,43.1,-89.4,5
2001-07-17,43.1,-89.4,3
2001-07-22,43.1,-89.4,2
2001-08-01,43.1,-89.4,19
2001-08-02,43.1,-89.4,294
2001-08-09,43.1,-89.4,13
2001-08-22,43.1,-89.4,20
2001-08-25,43.1,-89.4,19
2001-09-07,43.1,-89.4,1
2001-09-08,43.1,-89.4,17
2001-10-10,43.1,-89.4,1
2000-04-20,43.1,-89.4,4
2000-05-08,43.1,-89.4,2
2000-05-11,43.1,-89.4,1
2000-05-12,43.1,-89.4,2
2000-05-17,43.1,-89.4,1
2000-05-18,43.1,-89.4,20
2000-05-30,43.1,-89.4,13
2000-05-31,43.1,-89.4,34
2000-06-01,43.1,-89.4,74
2000-06-02,43.1,-89.4,4
2000-06-13,43.1,-89.4,27
2000-06-14,43.1,-89.4,4
2000-07-03,43.1,-89.4,13
2000-07-09,43.1,-89.4,1
2000-07-26,43.1,-89.4,5
2000-07-30,43.1,-89.4,12
2000-08-01,43.1,-89.4,9
2000-08-17,43.1,-89.4,4
2000-08-26,43.1,-89.4,38
2000-09-03,43.1,-89.4,32
2000-09-11,43.1,-89.4,132
2000-09-12,43.1,-89.4,1
1999-02-11,43.1,-89.4,12
1999-04-03,43.1,-89.4,4
1999-04-08,43.1,-89.4,1
1999-04-11,43.1,-89.4,1
1999-04-22,43.1,-89.4,1
1999-05-16,43.1,-89.4,23
1999-05-17,43.1,-89.4,79
1999-06-02,43.1,-89.4,6
1999-06-06,43.1,-89.4,7
1999-06-07,43.1,-89.4,6
1999-06-10,43.1,-89.4,2
1999-06-23,43.1,-89.4,2
1999-06-28,43.1,-89.4,10
1999-07-01,43.1,-89.4,1
1999-07-03,43.1,-89.4,4
1999-07-09,43.1,-89.4,17
1999-07-17,43.1,-89.4,10
1999-07-20,43.1,-89.4,1
1999-07-21,43.1,-89.4,1
1999-07-23,43.1,-89.4,9
1999-07-26,43.1,-89.4,7
1999-07-31,43.1,-89.4,12
1999-08-10,43.1,-89.4,1
1999-08-23,43.1,-89.4,20
1999-11-10,43.1,-89.4,4
1999-11-23,43.1,-89.4,2
1998-03-31,43.1,-89.4,15
1998-05-16,43.1,-89.4,7
1998-05-19,43.1,-89.4,1
1998-05-24,43.1,-89.4,2
1998-05-28,43.1,-89.4,4
1998-05-31,43.1,-89.4,6
1998-06-11,43.1,-89.4,3
1998-06-18,43.1,-89.4,41
1998-06-19,43.1,-89.4,4
1998-06-21,43.1,-89.4,1
1998-06-24,43.1,-89.4,36
1998-06-25,43.1,-89.4,1
1998-06-27,43.1,-89.4,48
1998-06-28,43.1,-89.4,37
1998-06-29,43.1,-89.4,2
1998-07-03,43.1,-89.4,2
1998-07-19,43.1,-89.4,4
1998-07-20,43.1,-89.4,39
1998-07-21,43.1,-89.4,5
1998-08-04,43.1,-89.4,19
1998-08-23,43.1,-89.4,25
1998-08-25,43.1,-89.4,2
1998-09-26,43.1,-89.4,6
1998-09-30,43.1,-89.4,1
1998-10-05,43.1,-89.4,1
