DAY,CENTERLAT,CENTERLON,FCOUNT
6/7/1999,43.1,-89.4,6
6/10/1999,43.1,-89.4,2
6/23/1999,43.1,-89.4,2
6/28/1999,43.1,-89.4,10
7/1/1999,43.1,-89.4,1
7/3/1999,43.1,-89.4,4
7/9/1999,43.1,-89.4,17
7/17/1999,43.1,-89.4,10
7/20/1999,43.1,-89.4,1
7/21/1999,43.1,-89.4,1
7/23/1999,43.1,-89.4,9
7/26/1999,43.1,-89.4,7
7/31/1999,43.1,-89.4,12
8/10/1999,43.1,-89.4,1
8/23/1999,43.1,-89.4,20
11/10/1999,43.1,-89.4,4
11/23/1999,43.1,-89.4,2
3/31/1998,43.1,-89.4,15
5/16/1998,43.1,-89.4,7
5/19/1998,43.1,-89.4,1
5/24/1998,43.1,-89.4,2
5/28/1998,43.1,-89.4,4
5/31/1998,43.1,-89.4,6
6/11/1998,43.1,-89.4,3
6/18/1998,43.1,-89.4,41
6/19/1998,43.1,-89.4,4
6/21/1998,43.1,-89.4,1
6/24/1998,43.1,-89.4,36
6/25/1998,43.1,-89.4,1
6/27/1998,43.1,-89.4,48
6/28/1998,43.1,-89.4,37
6/29/1998,43.1,-89.4,2
7/3/1998,43.1,-89.4,2
7/19/1998,43.1,-89.4,4
7/20/1998,43.1,-89.4,39
7/21/1998,43.1,-89.4,5
8/4/1998,43.1,-89.4,19
8/23/1998,43.1,-89.4,25
8/25/1998,43.1,-89.4,2
9/26/1998,43.1,-89.4,6
9/30/1998,43.1,-89.4,1
10/5/1998,43.1,-89.4,1
